Left Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Right Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Incline Angle
0
FrameNumber,Rfz,Lfz,RHS,LHS,RTO,LTO,Pause,RBSsent,LBSsent,RBSread,LBSread,incang_read
51582,0.0,23.191582,0,0,0,0,0,0,0,0,0,0
51583,0.0,22.092949,0,0,0,0,0,nan,nan,0,0,0
51584,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
51585,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
51586,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
51587,0.0,21.543633,0,0,0,0,0,nan,nan,0,0,0
51588,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
51589,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
51590,0.0,24.839531,0,0,0,0,0,nan,nan,0,0,0
51591,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
51592,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
51593,0.0,20.994316,0,0,0,0,0,nan,nan,0,0,0
51594,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
51595,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
51596,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
51597,0.0,21.543633,0,0,0,0,0,nan,nan,0,0,0
51598,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
51599,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
51600,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
51601,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
51602,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
51603,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
51604,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
51605,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
51606,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
51607,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
51608,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
51609,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
51610,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
51611,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
51612,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
51613,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
51614,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
51615,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
