Left Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Right Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Incline Angle
0
FrameNumber,Rfz,Lfz,RHS,LHS,RTO,LTO,Pause,RBSsent,LBSsent,RBSread,LBSread,incang_read
42480,0.0,23.191582,0,0,0,0,0,0,0,0,0,0
42481,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
42482,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
42483,0.0,22.092949,0,0,0,0,0,nan,nan,0,0,0
42484,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
42485,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
42486,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
42487,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
42488,0.0,24.839531,0,0,0,0,0,nan,nan,0,0,0
42489,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
42490,0.0,20.994316,0,0,0,0,0,nan,nan,0,0,0
42491,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
42492,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
42493,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
42494,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
42495,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
42496,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
42497,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
42498,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
42499,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
42500,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
42501,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
42502,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
42503,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
42504,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
42505,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
42506,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
42507,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
42508,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
42509,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
42510,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
42511,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
42512,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
42513,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
42514,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
42515,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
42516,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
42517,0.0,25.388847,0,0,0,0,0,nan,nan,nan,nan,nan
42518,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
42519,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
42520,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
42521,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
42522,0.0,24.839531,0,0,0,0,0,nan,nan,nan,nan,nan
42523,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
42524,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
42525,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
42526,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
42527,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
42528,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
42529,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
42530,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
42531,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
