Left Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Right Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Incline Angle
0
FrameNumber,Rfz,Lfz,RHS,LHS,RTO,LTO,Pause,RBSsent,LBSsent,RBSread,LBSread,incang_read
48951,0.0,23.740898,0,0,0,0,0,0,0,0,0,0
48952,0.0,22.092949,0,0,0,0,0,nan,nan,0,0,0
48953,0.0,24.839531,0,0,0,0,0,nan,nan,0,0,0
48954,0.0,24.839531,0,0,0,0,0,nan,nan,0,0,0
48955,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
48956,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
48957,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
48958,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
48959,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
48960,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
48961,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
48962,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
48963,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
48964,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
48965,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
48966,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
48967,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
48968,0.0,22.092949,0,0,0,0,0,nan,nan,0,0,0
48969,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
48970,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
48971,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
48972,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
48973,0.0,25.388847,0,0,0,0,0,nan,nan,nan,nan,nan
48974,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
48975,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
48976,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
48977,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
48978,0.0,24.839531,0,0,0,0,0,nan,nan,nan,nan,nan
48979,0.0,24.839531,0,0,0,0,0,nan,nan,nan,nan,nan
48980,0.0,19.895683,0,0,0,0,0,nan,nan,nan,nan,nan
48981,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
48982,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
48983,0.0,25.388847,0,0,0,0,0,nan,nan,nan,nan,nan
48984,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
48985,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
48986,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
48987,0.0,26.48748,0,0,0,0,0,nan,nan,nan,nan,nan
48988,0.0,25.388847,0,0,0,0,0,nan,nan,nan,nan,nan
48989,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
48990,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
48991,0.0,24.839531,0,0,0,0,0,nan,nan,nan,nan,nan
48992,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
48993,0.0,25.388847,0,0,0,0,0,nan,nan,nan,nan,nan
48994,0.0,25.938164,0,0,0,0,0,nan,nan,nan,nan,nan
48995,0.0,24.839531,0,0,0,0,0,nan,nan,nan,nan,nan
48996,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
48997,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
48998,0.0,24.839531,0,0,0,0,0,nan,nan,nan,nan,nan
48999,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
49000,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
49001,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
49002,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
49003,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
49004,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
49005,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
49006,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
49007,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
