Left Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Right Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Incline Angle
0
FrameNumber,Rfz,Lfz,RHS,LHS,RTO,LTO,Pause,RBSsent,LBSsent,RBSread,LBSread,incang_read
121089,0.0,21.543633,0,0,0,0,0,0,0,0,0,0
121090,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
121091,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
121092,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
121093,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
121094,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
121095,0.0,24.839531,0,0,0,0,0,nan,nan,0,0,0
121096,0.0,24.839531,0,0,0,0,0,nan,nan,0,0,0
121097,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
121098,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
121099,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
121100,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
121101,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
121102,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
121103,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
121104,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
121105,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
121106,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
121107,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
121108,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
121109,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
121110,0.0,24.839531,0,0,0,0,0,nan,nan,nan,nan,nan
121111,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
121112,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
121113,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
121114,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
121115,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
121116,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
121117,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
121118,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
121119,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
121120,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
121121,0.0,26.48748,0,0,0,0,0,nan,nan,nan,nan,nan
121122,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
121123,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
121124,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
121125,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
121126,0.0,25.938164,0,0,0,0,0,nan,nan,nan,nan,nan
121127,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
121128,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
