Left Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Right Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Incline Angle
0
FrameNumber,Rfz,Lfz,RHS,LHS,RTO,LTO,Pause,RBSsent,LBSsent,RBSread,LBSread,incang_read
81945,0.0,23.191582,0,0,0,0,0,0,0,0,0,0
81946,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
81947,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
81948,0.0,24.839531,0,0,0,0,0,nan,nan,0,0,0
81949,0.0,22.092949,0,0,0,0,0,nan,nan,0,0,0
81950,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
81951,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
81952,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
81953,0.0,24.839531,0,0,0,0,0,nan,nan,0,0,0
81954,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
81955,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
81956,0.0,22.092949,0,0,0,0,0,nan,nan,0,0,0
81957,0.0,24.839531,0,0,0,0,0,nan,nan,0,0,0
81958,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
81959,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
81960,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
81961,0.0,22.092949,0,0,0,0,0,nan,nan,0,0,0
81962,0.0,22.092949,0,0,0,0,0,nan,nan,0,0,0
81963,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
81964,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
81965,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
81966,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
81967,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
81968,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
81969,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
81970,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
81971,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
81972,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
81973,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
81974,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
81975,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
